industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Consumer,WMT,Walmart,1019010088960.0,24.485,46.645985,38.83256,1.517,0.007622103204029106,1.2759291168956515,0.0307,0.04567,0.056,1019010.1,False
Consumer,AMZN,Amazon,2327545643008.0,16.352,30.197773,23.224825,3.324,0.010222409793541574,0.3809622209325674,0.108339995,0.10533,0.136,2327545.6,False
Consumer,COST,Costco,446949982208.0,33.36,54.067665,45.140213,1.562,0.016042623392841158,-0.6865523952900526,0.02961,0.03659,0.083,446950.0,False
Consumer,HD,Home Depot,367453241344.0,17.212,25.902454,22.628819,2.614,0.023460807673021673,2.5573148816260716,0.08596,0.100760005,-0.038,367453.2,False
Consumer,TGT,Target,54564249600.0,8.748,14.555152,14.167311,0.66,0.04557242227702147,1.871775591195568,0.03536,0.04824,-0.015,54564.2,False
Consumer,NKE,Nike,86809681920.0,23.568,34.292397,25.390226,1.929,0.02968130787962689,0.7712709915966387,0.05426,0.08095,0.006,86809.7,False
Consumer,SBUX,Starbucks,110682996736.0,25.028,80.95833,32.863026,3.517,-0.013004594765655044,4.132274915189398,0.036310002,0.09262,0.055,110683.0,False
Consumer,KR,Kroger,45055488000.0,8.869,60.16814,12.87387,0.49,0.056843799361356376,2.613236525925346,0.0053600003,0.03101,0.007,45055.5,False
Consumer,DG,Dollar General,33370021888.0,15.451,26.183075,21.067055,1.155,0.05908562045951272,4.8502079235233095,0.03033,0.03999,0.046,33370.0,False
Consumer,BBY,Best Buy,14158724096.0,6.357,22.240925,9.554799,0.397,0.04869789306755342,0.9204458315976427,0.02564,0.05017,-0.01,14158.7,False
Consumer,PEP,PepsiCo,224134397952.0,14.728,27.32,17.950302,2.85,0.03673131012118498,2.393419253026502,0.08773,0.14068,0.056,224134.4,False
Consumer,KO,Coca-Cola,335955656704.0,23.019,25.69079,22.536495,7.72,-0.004349532501807111,1.9970145540727788,0.2734,0.24656999,0.024,335955.7,False
Consumer,PG,Procter & Gamble,370498830336.0,15.94,23.486649,21.594177,4.63,0.03577170530870693,1.0423581233819745,0.19299999,0.26297,0.015,370498.8,False
Consumer,LOW,Lowe's,145073274880.0,15.26,21.842905,18.907541,2.184,0.037221707971138066,3.5089496954497728,0.07712,0.08298001,0.109,145073.3,False
Consumer,ADM,Archer Daniels Midland,32346388480.0,16.403,30.143497,14.422138,0.515,0.06639844473913893,3.4553749897437522,0.01343,0.01822,-0.137,32346.4,False
Consumer,SYY,Sysco,41968693248.0,12.346,23.619946,17.271692,0.675,0.04176922844943566,3.0425059446178566,0.021760002,0.03988,0.03,41968.7,False
Consumer,ACI,Albertsons,9393159168.0,6.653,11.103897,7.436302,0.294,0.13301567850106297,4.218299844823764,0.010650001,0.02891,0.019,9393.2,False
Consumer,DIS,Walt Disney,182729801728.0,11.863,15.175258,14.006756,2.393,0.017372645654841565,2.1217238206390787,0.128,0.15361,0.052,182729.8,False
Consumer,WBA,Walgreens Boots Alliance,,,,,,,,,,,,False
Consumer,PFGC,Performance Food Group,14267728896.0,13.588,41.09502,15.270743,0.356,0.0430928782346272,4.860105152923905,0.0055299997,0.0115600005,0.052,14267.7,False
Consumer,TJX,TJX Companies,179995574272.0,22.458,33.209446,28.543291,3.134,0.021879704542339028,0.8616024184145465,0.091000006,0.13267,0.085,179995.6,False
Consumer,TSN,Tyson Foods,22152808448.0,11.36,112.35714,14.236679,0.533,0.05205886426125432,2.739365902025845,0.0036300002,0.02913,0.051,22152.8,True
