industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Energy,XOM,ExxonMobil,635431419904,11.492,22.795216,18.284824,2.107,0.019246372428117657,0.6702926881922898,0.089049995,0.09527001,-0.013,635431.4,False
Energy,CVX,Chevron,373399257088,11.13,28.168928,20.475983,2.268,0.03535290795955961,1.0748053063939875,0.06661,0.09462,-0.082,373399.3,False
Energy,COP,ConocoPhillips,138686611456,6.461,17.867716,16.684828,2.59,0.0539841233223533,0.720706949510666,0.13252,0.16299999,-0.068,138686.6,False
Energy,EOG,EOG Resources,67325620224,6.167,13.605264,11.14978,3.192,0.03456707732148586,0.48950865120144876,0.21982999,0.1694,0.0,67325.6,False
Energy,SLB,Schlumberger,76770320384,11.146,21.84681,15.416028,2.414,0.03190360592152039,1.0658218258582968,0.09449001,0.15988,0.05,76770.3,False
Energy,MPC,Marathon Petroleum,59582423040,9.86,14.993193,14.369198,0.719,0.04577692367712073,3.1556971213637945,0.03033,0.07005,-0.005,59582.4,False
Energy,VLO,Valero Energy,63571771392,9.355,27.033024,15.938824,0.613,0.05851063889763004,0.9231477832502358,0.02025,0.059299998,-0.021,63571.8,False
Energy,PSX,Phillips 66,62368497664,12.51,14.303059,12.362511,0.631,0.020222549768551052,3.0680455443645083,0.03326,0.02747,0.013,62368.5,False
Energy,ET,Energy Transfer,64815529984,10.13,15.570248,11.909353,1.776,0.034077482364878287,4.589969095605979,0.05178,0.092930004,0.296,64815.5,False
Energy,EPD,Enterprise Products Partners,78252040192,11.831,13.586466,11.80764,2.146,,3.5426438871101893,0.11054,0.14145,-0.029,78252.0,False
Energy,PAGP,Plains GP Holdings,5251829760,12.367,20.125,10.092553,0.643,,4.836663872759764,0.00587,0.034360003,-0.148,5251.8,False
