industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Energy,XOM,ExxonMobil,642598305792,11.613,23.052317,18.491053,2.129,0.019031718026282188,0.6702926881922898,0.089049995,0.09527001,-0.013,642598.3,False
Energy,CVX,Chevron,379077459968,11.281,28.554218,20.787355,2.299,0.03482335660135094,1.0748053063939875,0.06661,0.09462,-0.082,379077.5,False
Energy,COP,ConocoPhillips,144529391616,6.703,18.620472,17.387749,2.687,0.0518017480893566,0.720706949510666,0.13252,0.16299999,-0.068,144529.4,False
Energy,EOG,EOG Resources,69805285376,6.377,14.1063595,11.560438,3.3,0.033339164899398005,0.48950865120144876,0.21982999,0.1694,0.0,69805.3,False
Energy,SLB,Schlumberger,76665643008,11.133,21.817022,15.395009,2.411,0.03194716631730882,1.0658218258582968,0.09449001,0.15988,0.05,76665.6,False
Energy,MPC,Marathon Petroleum,63072419840,10.212,15.8714075,15.210862,0.744,0.04324394147107453,3.1556971213637945,0.03033,0.07005,-0.005,63072.4,False
Energy,VLO,Valero Energy,66762166272,9.759,28.42725,16.738726,0.64,0.05571456361744822,0.9231477832502358,0.02025,0.059299998,-0.021,66762.2,False
Energy,PSX,Phillips 66,64191176704,12.861,14.831481,12.8311205,0.648,0.019648339737031284,3.0680455443645083,0.03326,0.02747,0.013,64191.2,False
Energy,ET,Energy Transfer,65710010368,10.189,15.785124,12.073708,1.786,0.033613601148899455,4.589969095605979,0.05178,0.092930004,0.296,65710.0,False
Energy,EPD,Enterprise Products Partners,79875981312,12.001,13.868421,12.05268,2.177,,3.5426438871101893,0.11054,0.14145,-0.029,79876.0,False
Energy,PAGP,Plains GP Holdings,5352019968,12.233,20.508928,10.2850895,0.646,0.146206473944157,4.776969178082192,0.00587,0.03512,-0.122,5352.0,False
