industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Financials,JPM,JPMorgan Chase,802528952320.0,,14.855716,12.666267,3.334,,,0.3391,0.41062,0.025,802529.0,False
Financials,BAC,Bank of America,363737317376.0,,13.073491,10.024694,3.541,,,0.28401,0.41627997,0.072,363737.3,False
Financials,C,Citigroup,194961604608.0,,15.944206,9.225993,0.053,,,0.18893999,0.25656998,0.044,194961.6,False
Financials,GS,Goldman Sachs,260854759424.0,,16.777649,13.255552,0.543,,,0.28917998,0.38319,0.152,260854.8,False
Financials,MS,Morgan Stanley,265172664320.0,,16.37255,13.593814,2.688,,,0.23986,0.38625,0.11,265172.7,False
Financials,AXP,American Express,211773652992.0,,20.001951,15.281134,3.395,,,0.16174999,0.17459999,0.106,211773.7,False
Financials,PGR,Progressive,125036929024.0,8.237,11.097764,13.240148,1.392,,-0.20989128952495234,0.12903,0.16497,0.122,125036.9,False
Financials,AIG,American International Group,43770413056.0,5.207,14.939227,9.16635,1.55,0.2572085691217106,-0.2920454464646465,0.11634,0.13768,-0.072,43770.4,False
Financials,COF,Capital One,120853749760.0,,57.833336,7.9057336,3.689,,,0.074829996,0.22935,0.516,120853.7,True
Financials,WFC,Wells Fargo,259225600000.0,,13.191693,10.421939,3.344,,,0.26659,0.29938,0.05,259225.6,False
Financials,BRK.B,Berkshire Hathaway,,,,,,,,,,,,False
Financials,SNEX,StoneX Group,6854331904.0,,19.5,14.88041,-0.044,,,0.00254,0.00488,0.396,6854.3,False
Financials,MET,MetLife,48257224704.0,14.76,15.549893,6.6898,1.142,-0.2639708284538816,6.662361584163415,0.04384,0.0467,0.276,48257.2,False
Financials,ALL,Allstate,55218843648.0,4.747,5.5901203,8.471893,0.876,0.16162507641217602,0.16886752234114846,0.15191,0.29017,0.051,55218.8,False
Financials,PRU,Prudential Financial,34782597120.0,7.862,10.005005,6.454571,0.673,0.36279277353743505,0.6288387550518865,0.0584,0.1041,0.312,34782.6,False
Financials,TRV,Travelers,69299118080.0,7.894,11.325921,10.987815,1.439,0.17461261867764305,0.3467025670636004,0.12878,0.25893,0.035,69299.1,False
