industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Industrials,F,Ford Motor,56211709952,35.888,,7.729739,1.034,0.03128574144963239,25.45985641784365,-0.04369,-0.0669,-0.048,56211.7,False
Industrials,GM,General Motors,73425510400,10.046,24.070335,5.674273,0.957,0.11657563113105714,5.894208698743365,0.014579999,0.065359995,-0.051,73425.5,False
Industrials,GE,GE Aerospace,361020620800,34.453,42.569653,40.13575,8.042,0.014434078021506742,0.8936746781618476,0.18982,0.19549,0.176,361020.6,False
Industrials,CAT,Caterpillar,347629289472,27.244,39.53326,26.973875,5.627,0.016795909852326426,2.4872861095327203,0.13144,0.16025,0.18,347629.3,False
Industrials,DE,Deere & Company,170698309632,26.555,34.01999,27.270185,4.88,0.02460627829915311,6.742547592210971,0.10302,0.092709996,0.13,170698.3,False
Industrials,FDX,FedEx,91314757632,,21.416714,17.858526,,0.0508365232562719,0.0,0.04814,0.0764,0.139,91314.8,False
Industrials,UPS,UPS,98461835264,9.924,17.676828,14.561034,1.367,0.05267903920430422,1.8590730871210868,0.06285,0.107480004,-0.032,98461.8,False
Industrials,HON,Honeywell,164147920896,21.092,32.135883,21.167088,4.77,0.028395121708261493,2.6727681412646014,0.1263,0.15413,-0.033,164147.9,False
Industrials,LMT,Lockheed Martin,152278269952,20.526,30.579926,20.56709,2.266,0.03468403659737423,2.251055996113126,0.06685,0.090100005,0.091,152278.3,False
Industrials,RTX,RTX Corporation,271974318080,20.793,40.850803,26.98139,3.458,0.023738454062787368,2.2070581573642385,0.07598,0.110240005,0.121,271974.3,False
Industrials,MMM,3M,87074045952,15.345,27.553335,17.589144,3.7,0.014473313720769551,0.8641954893617021,0.13027,0.12408,0.02,87074.0,False
Industrials,GD,General Dynamics,96542662656,16.37,23.095083,19.758286,1.976,0.034774782004537465,1.1752836923076924,0.08011,0.1014,0.078,96542.7,False
Industrials,NOC,Northrop Grumman,103383564288,17.051,24.935629,24.116875,2.772,0.028049672034151332,1.9766863568961448,0.09968001,0.16530001,0.096,103383.6,False
Industrials,NUE,Nucor,40480518144,11.12,23.521276,13.015175,1.416,-0.022316289845561124,1.0992992997450701,0.05367,0.06869,0.086,40480.5,False
Industrials,TSLA,Tesla,1510391414784,141.082,369.27524,143.53212,15.626,0.002471296419897752,-2.7934876798264106,0.040009998,0.047030002,-0.031,1510391.4,True
Industrials,BA,Boeing,178690015232,-63.745,91.745964,48.37256,2.307,0.009859252704817632,,0.02498,-0.03178,0.571,178690.0,False
Industrials,DAL,Delta Air Lines,42910683136,7.687,8.5770235,7.884382,0.943,0.06885232021676477,2.1955736507891337,0.078990005,0.08930001,0.029,42910.7,False
Industrials,UAL,United Airlines,34413346816,6.857,10.421569,6.9614444,0.9,0.031935285744687736,2.4237267210000684,0.056760002,0.09139,0.048,34413.3,False
Industrials,AAL,American Airlines,8630180864,9.999,76.88235,4.791477,0.715,-0.08189283945926813,7.788732669520843,0.0020299999,0.03622,0.025,8630.2,False
