industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Technology,AAPL,Apple,3858499371008,25.361,33.230377,28.185013,8.902,0.027552875594800654,0.15436031600455918,0.27037,0.35374,0.157,3858499.4,False
Technology,MSFT,Microsoft,3011599663104,17.361,25.388472,21.504875,9.961,0.01781134021004425,0.19294874431614215,0.39044,0.47094002,0.167,3011599.7,False
Technology,GOOGL,Alphabet,3666963857408,24.019,28.015713,22.599228,8.954,0.010386897117366964,-0.39851507562496213,0.32810003,0.31568,0.18,3666963.9,False
Technology,NVDA,Nvidia,4448787103744,33.001,37.279022,17.143456,20.361,0.01306625762133682,-0.3838775026396649,0.55603004,0.65024,0.732,4448787.1,False
Technology,META,Meta Platforms,1689059983360,16.611,28.414042,18.610088,8.422,0.013873026714768666,0.03424211375666225,0.30084,0.41314998,0.238,1689060.0,False
Technology,ORCL,Oracle,437925249024,20.949,28.640976,19.209505,9.018,-0.02330991424392742,4.262697058407299,0.25280002,0.31997,0.142,437925.2,False
Technology,CRM,Salesforce,183812161536,14.852,25.778372,12.958241,4.488,0.08904198402995489,0.6491871244972828,0.17958,0.19239001,0.121,183812.2,False
Technology,AVGO,Broadcom,1505496662016,4.288,66.70798,20.03234,2.342,0.01637391533435231,0.7872545506259297,0.36571997,0.31765,0.164,1505496.7,False
Technology,INTC,Intel,227680239616,19.745,,45.985596,4.72,-0.019784326613487325,0.7672761599862008,-0.00505,0.051409997,-0.041,227680.2,False
Technology,CSCO,Cisco Systems,319525027840,20.587,29.08993,17.908155,5.679,0.031701742515995585,0.9798661527495446,0.18756,0.24868,0.097,319525.0,False
Technology,DELL,Dell Technologies,98586451968,13.585,16.947004,10.2945385,1.035,-0.013801338792896642,2.3103170195653178,0.05228,0.09263,0.395,98586.5,False
Technology,IBM,IBM,234564894720,17.673,22.467205,18.635855,4.218,0.05608949038902457,3.1139098694466676,0.15685001,0.24768999,0.122,234564.9,False
Technology,HPQ,HP Inc,17606942720,5.682,7.2651515,6.3847566,0.45,0.16046936830155145,1.7464663728458263,0.04462,0.06185,0.069,17606.9,False
Technology,VZ,Verizon,215945428992,7.66,12.610838,9.753756,2.771,0.07984077214544201,3.3155187743639574,0.124280006,0.20989001,0.02,215945.4,False
Technology,T,AT&T,205452247040,8.186,9.532895,11.3773775,2.882,0.061261195345065036,3.1943133157074093,0.17472,0.18416001,0.036,205452.2,False
Technology,CMCSA,Comcast,116932575232,5.734,5.953618,8.044683,1.71,0.04782349928499349,2.5908894151049555,0.16166,0.107889995,0.012,116932.6,False
Technology,CHTR,Charter Communications,30022973440,5.999,6.4088397,4.7449627,2.416,0.09108441672058448,4.465137377340976,0.09105,0.24741,-0.023,30023.0,False
Technology,UBER,Uber Technologies,159265701888,25.898,16.205074,17.87751,3.143,0.039846148447345985,0.7397021850443599,0.19326,0.12349,0.201,159265.7,False
Technology,SNX,TD Synnex,12938461184,8.485,16.107538,9.961632,0.249,0.10322758827391633,1.440917124422116,0.01324,0.02313,0.097,12938.5,False
