ticker,period_end,revenue,type,industry
WMT,2025-10-31,179496000000.0,historical,Consumer
WMT,2025-07-31,177402000000.0,historical,Consumer
WMT,2025-04-30,165609000000.0,historical,Consumer
WMT,2025-01-31,180554000000.0,historical,Consumer
WMT,2024-10-31,169588000000.0,historical,Consumer
AMZN,2025-12-31,213386000000.0,historical,Consumer
AMZN,2025-09-30,180169000000.0,historical,Consumer
AMZN,2025-06-30,167702000000.0,historical,Consumer
AMZN,2025-03-31,155667000000.0,historical,Consumer
AMZN,2024-12-31,187792000000.0,historical,Consumer
COST,2025-11-30,67307000000.0,historical,Consumer
COST,2025-08-31,86156000000.0,historical,Consumer
COST,2025-05-31,63205000000.0,historical,Consumer
COST,2025-02-28,63723000000.0,historical,Consumer
COST,2024-11-30,62151000000.0,historical,Consumer
HD,2025-10-31,41352000000.0,historical,Consumer
HD,2025-07-31,45277000000.0,historical,Consumer
HD,2025-04-30,39856000000.0,historical,Consumer
HD,2025-01-31,39704000000.0,historical,Consumer
HD,2024-10-31,40217000000.0,historical,Consumer
TGT,2025-10-31,25270000000.0,historical,Consumer
TGT,2025-07-31,25211000000.0,historical,Consumer
TGT,2025-04-30,23846000000.0,historical,Consumer
TGT,2025-01-31,30915000000.0,historical,Consumer
TGT,2024-10-31,25668000000.0,historical,Consumer
NKE,2025-11-30,12427000000.0,historical,Consumer
NKE,2025-08-31,11720000000.0,historical,Consumer
NKE,2025-05-31,11097000000.0,historical,Consumer
NKE,2025-02-28,11269000000.0,historical,Consumer
NKE,2024-11-30,12354000000.0,historical,Consumer
SBUX,2025-12-31,9915100000.0,historical,Consumer
SBUX,2025-09-30,9569000000.0,historical,Consumer
SBUX,2025-06-30,9456000000.0,historical,Consumer
SBUX,2025-03-31,8761600000.0,historical,Consumer
SBUX,2024-12-31,9397800000.0,historical,Consumer
KR,2025-10-31,33859000000.0,historical,Consumer
KR,2025-07-31,33940000000.0,historical,Consumer
KR,2025-04-30,45118000000.0,historical,Consumer
KR,2025-01-31,34308000000.0,historical,Consumer
KR,2024-10-31,33634000000.0,historical,Consumer
DG,2025-10-31,10649450000.0,historical,Consumer
DG,2025-07-31,10727737000.0,historical,Consumer
DG,2025-04-30,10435979000.0,historical,Consumer
DG,2025-01-31,10304498000.0,historical,Consumer
DG,2024-10-31,10183428000.0,historical,Consumer
BBY,2025-10-31,9672000000.0,historical,Consumer
BBY,2025-07-31,9438000000.0,historical,Consumer
BBY,2025-04-30,8767000000.0,historical,Consumer
BBY,2025-01-31,13948000000.0,historical,Consumer
BBY,2024-10-31,9445000000.0,historical,Consumer
PEP,2025-12-31,29343000000.0,historical,Consumer
PEP,2025-09-30,23937000000.0,historical,Consumer
PEP,2025-06-30,22726000000.0,historical,Consumer
PEP,2025-03-31,17919000000.0,historical,Consumer
PEP,2024-12-31,27784000000.0,historical,Consumer
KO,2025-12-31,11822000000.0,historical,Consumer
KO,2025-09-30,12455000000.0,historical,Consumer
KO,2025-06-30,12535000000.0,historical,Consumer
KO,2025-03-31,11129000000.0,historical,Consumer
KO,2024-12-31,11544000000.0,historical,Consumer
PG,2025-12-31,22208000000.0,historical,Consumer
PG,2025-09-30,22386000000.0,historical,Consumer
PG,2025-06-30,20889000000.0,historical,Consumer
PG,2025-03-31,19776000000.0,historical,Consumer
PG,2024-12-31,21882000000.0,historical,Consumer
LOW,2025-10-31,20813000000.0,historical,Consumer
LOW,2025-07-31,23959000000.0,historical,Consumer
LOW,2025-04-30,20930000000.0,historical,Consumer
LOW,2025-01-31,18554000000.0,historical,Consumer
LOW,2024-10-31,20170000000.0,historical,Consumer
ADM,2025-12-31,18556000000.0,historical,Consumer
ADM,2025-09-30,20372000000.0,historical,Consumer
ADM,2025-06-30,21166000000.0,historical,Consumer
