industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Consumer,WMT,Walmart,1013349351424.0,24.357,46.556774,38.61684,1.509,0.007664681536614686,1.2759291168956515,0.0307,0.04567,0.056,1013349.4,False
Consumer,AMZN,Amazon,2237050126336.0,15.732,29.064156,22.32184,3.198,0.010635937521422497,0.3809622209325674,0.108339995,0.10533,0.136,2237050.1,False
Consumer,COST,Costco,445187457024.0,33.226,53.76783,44.962208,1.555,0.016106137149352464,-0.6865523952900526,0.02961,0.03659,0.083,445187.5,False
Consumer,HD,Home Depot,369145610240.0,17.279,26.040028,22.73304,2.624,0.023353250275400052,2.5573148816260716,0.08596,0.100760005,-0.038,369145.6,False
Consumer,TGT,Target,51424350208.0,8.417,13.717575,14.808757,0.645,0.050503800427136356,2.064096104166167,0.03576,0.04626,-0.016,51424.4,False
Consumer,NKE,Nike,90318184448.0,24.489,35.67836,26.41297,2.005,0.028528307026404767,0.7712709915966387,0.05426,0.08095,0.006,90318.2,False
Consumer,SBUX,Starbucks,110238670848.0,24.944,80.63333,32.715385,3.505,-0.013057010837736475,4.132274915189398,0.036310002,0.09262,0.055,110238.7,False
Consumer,KR,Kroger,45757931520.0,8.967,61.106197,13.074581,0.495,0.05597117341024422,2.613236525925346,0.0053600003,0.03101,0.007,45757.9,False
Consumer,DG,Dollar General,33594540032.0,15.522,26.404842,21.20818,1.16,0.05869074099904021,4.8502079235233095,0.03033,0.03999,0.046,33594.5,False
Consumer,BBY,Best Buy,12940136448.0,6.107,20.326733,9.265067,0.381,0.0884264233687314,1.1565017222799732,0.015420001,0.039809998,0.024,12940.1,False
Consumer,PEP,PepsiCo,228728668160.0,14.98,27.833609,18.318243,2.899,0.035993520821976877,2.393419253026502,0.08773,0.14068,0.056,228728.7,False
Consumer,KO,Coca-Cola,345075089408.0,23.586,26.388159,23.148043,7.91,-0.004234585725984668,1.9970145540727788,0.2734,0.24656999,0.024,345075.1,False
Consumer,PG,Procter & Gamble,382692753408.0,16.429,24.223703,22.304888,4.772,0.03463189427543246,1.0423581233819745,0.19299999,0.26297,0.015,382692.8,False
Consumer,LOW,Lowe's,144259907584.0,15.194,21.2713,18.801535,2.174,0.037431571684986335,3.5089496954497728,0.07712,0.08298001,0.109,144259.9,False
Consumer,ADM,Archer Daniels Midland,33496461312.0,16.859,31.215246,14.934916,0.529,0.06411870997341966,3.4553749897437522,0.01343,0.01822,-0.137,33496.5,False
Consumer,SYY,Sysco,43333648384.0,12.648,24.388142,17.833422,0.691,0.04045355056342906,3.0425059446178566,0.021760002,0.03988,0.03,43333.6,False
Consumer,ACI,Albertsons,9722743808.0,6.739,11.493507,7.697225,0.298,0.12850667102551305,4.218299844823764,0.010650001,0.02891,0.019,9722.7,False
Consumer,DIS,Walt Disney,185017466880.0,11.982,15.365243,14.187127,2.417,0.017157840011175488,2.1217238206390787,0.128,0.15361,0.052,185017.5,False
Consumer,WBA,Walgreens Boots Alliance,,,,,,,,,,,,False
Consumer,PFGC,Performance Food Group,15054794752.0,14.069,43.36199,16.11314,0.369,0.0408399791646658,4.860105152923905,0.0055299997,0.0115600005,0.052,15054.8,False
Consumer,TJX,TJX Companies,178003427328.0,22.219,35.306843,28.196976,3.101,0.02212457390914805,0.8616024184145465,0.091000006,0.13267,0.085,178003.4,False
Consumer,TSN,Tyson Foods,22673887232.0,11.561,115.0,14.571554,0.542,0.05086247612506429,2.739365902025845,0.0036300002,0.02913,0.051,22673.9,True
