industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Energy,XOM,ExxonMobil,628181237760,11.37,22.535126,17.980968,2.085,0.019468505305267395,0.6702926881922898,0.089049995,0.09527001,-0.013,628181.2,False
Energy,CVX,Chevron,379677245440,11.296,28.642532,20.715202,2.302,0.03476834528943637,1.0748053063939875,0.06661,0.09462,-0.082,379677.2,False
Energy,COP,ConocoPhillips,142793670656,6.631,18.367924,17.16699,2.658,0.05243142151612874,0.720706949510666,0.13252,0.16299999,-0.068,142793.7,False
Energy,EOG,EOG Resources,71096672256,6.485,14.367325,11.723254,3.356,0.03273359843932215,0.48950865120144876,0.21982999,0.1694,0.0,71096.7,False
Energy,SLB,Schlumberger,70878715904,10.384,20.170214,14.232952,2.249,0.034555508191166005,1.0658218258582968,0.09449001,0.15988,0.05,70878.7,False
Energy,MPC,Marathon Petroleum,65338953728,10.44,16.441755,14.808466,0.761,0.041743858393483456,3.1556971213637945,0.03033,0.07005,-0.005,65339.0,False
Energy,VLO,Valero Energy,69551325184,10.275,30.122852,16.761501,0.673,0.053480288839351756,0.9231477832502358,0.02025,0.059299998,-0.021,69551.3,False
Energy,PSX,Phillips 66,66699837440,13.237,15.425394,13.0959635,0.667,0.018909342157461186,3.0680455443645083,0.03326,0.02747,0.013,66699.8,False
Energy,ET,Energy Transfer,64230674432,10.091,15.429751,11.80189,1.769,0.03438777654963547,4.589969095605979,0.05178,0.092930004,0.296,64230.7,False
Energy,EPD,Enterprise Products Partners,80612057088,12.048,14.018797,12.183369,2.194,0.00027601330128210015,3.540718050570502,0.11054,0.14145,-0.029,80612.1,False
Energy,PAGP,Plains GP Holdings,5522110464,12.295,21.160715,10.611957,0.649,0.14170306318595224,4.776969178082192,0.00587,0.03512,-0.122,5522.1,False
