industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Financials,JPM,JPMorgan Chase,791713873920.0,,14.662836,12.495573,3.269,,,0.3391,0.41062,0.025,791713.9,False
Financials,BAC,Bank of America,363737317376.0,,13.073491,10.053446,3.541,,,0.28401,0.41627997,0.072,363737.3,False
Financials,C,Citigroup,190588305408.0,,15.586553,9.019039,-0.004,,,0.18893999,0.25656998,0.044,190588.3,False
Financials,GS,Goldman Sachs,250578288640.0,,16.28577,12.851902,0.407,,,0.28917998,0.38319,0.152,250578.3,False
Financials,MS,Morgan Stanley,258106687488.0,,15.920667,13.231584,2.588,,,0.23986,0.38625,0.11,258106.7,False
Financials,AXP,American Express,211622100992.0,,19.961662,15.270199,3.392,,,0.16174999,0.17459999,0.106,211622.1,False
Financials,PGR,Progressive,123378827264.0,8.124,10.950599,13.071206,1.373,0.09590280243693401,-0.20440122302123961,0.12903,0.16497,0.122,123378.8,False
Financials,AIG,American International Group,43203854336.0,5.135,14.745857,9.040939,1.528,0.26058150331784324,-0.2920454464646465,0.11634,0.13768,-0.072,43203.9,False
Financials,COF,Capital One,120822652928.0,,57.818455,7.8992515,3.688,,,0.074829996,0.22935,0.516,120822.7,True
Financials,WFC,Wells Fargo,257750237184.0,,13.116613,10.362622,3.326,,,0.26659,0.29938,0.05,257750.2,False
Financials,BRK.B,Berkshire Hathaway,,,,,,,,,,,,False
Financials,SNEX,StoneX Group,6272514048.0,,17.844776,13.617312,-0.048,,,0.00254,0.00488,0.396,6272.5,False
Financials,MET,MetLife,48059559936.0,14.727,15.4862,6.662398,1.139,-0.26505651739141217,6.662361584163415,0.04384,0.0467,0.276,48059.6,False
Financials,ALL,Allstate,54922973184.0,4.723,5.5587077,8.399162,0.872,0.1624957518978585,0.16886752234114846,0.15191,0.29017,0.051,54923.0,False
Financials,PRU,Prudential Financial,34500718592.0,7.809,9.923924,6.4146905,0.669,0.36575687101560994,0.6288387550518865,0.0584,0.1041,0.312,34500.7,False
Financials,TRV,Travelers,68400173056.0,7.796,11.174928,10.829806,1.421,0.17690745416818146,0.3467025670636004,0.12878,0.25893,0.035,68400.2,False
