industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Financials,JPM,JPMorgan Chase,807464599552.0,,14.94708,12.744166,3.363,,,0.3391,0.41062,0.025,807464.6,False
Financials,BAC,Bank of America,367315517440.0,,13.2021,10.152345,3.574,,,0.28401,0.41627997,0.072,367315.5,False
Financials,C,Citigroup,194734194688.0,,15.925609,9.215232,0.05,,,0.18893999,0.25656998,0.044,194734.2,False
Financials,GS,Goldman Sachs,262534856704.0,,16.892286,13.340928,0.572,,,0.28917998,0.38319,0.152,262534.9,False
Financials,MS,Morgan Stanley,266093625344.0,,16.41332,13.641026,2.701,,,0.23986,0.38625,0.11,266093.6,False
Financials,AXP,American Express,214377512960.0,,20.247885,15.469023,3.433,,,0.16174999,0.17459999,0.106,214377.5,False
Financials,PGR,Progressive,123859263488.0,8.157,10.987526,13.122105,1.379,0.09553080619719953,-0.20440122302123961,0.12903,0.16497,0.122,123859.3,False
Financials,AIG,American International Group,42248806400.0,5.015,14.41989,8.847698,1.493,0.2664720324974672,-0.2920454464646465,0.11634,0.13768,-0.072,42248.8,False
Financials,COF,Capital One,121792864256.0,,58.109795,7.962683,3.718,,,0.074829996,0.22935,0.516,121792.9,True
Financials,WFC,Wells Fargo,263463370752.0,,13.407348,10.592314,3.396,,,0.26659,0.29938,0.05,263463.4,False
Financials,BRK.B,Berkshire Hathaway,,,,,,,,,,,,False
Financials,SNEX,StoneX Group,6472923648.0,,18.414925,14.052392,-0.046,,,0.00254,0.00488,0.396,6472.9,False
Financials,MET,MetLife,48309936128.0,14.769,15.566878,6.6971073,1.142,-0.2636828074094033,6.662361584163415,0.04384,0.0467,0.276,48309.9,False
Financials,ALL,Allstate,55587385344.0,4.776,5.62743,8.528436,0.882,0.16055350991541684,0.16886752234114846,0.15191,0.29017,0.051,55587.4,False
Financials,PRU,Prudential Financial,34378919936.0,7.785,9.888889,6.3796606,0.667,0.3670526852935279,0.6288387550518865,0.0584,0.1041,0.312,34378.9,False
Financials,TRV,Travelers,69602476032.0,7.927,11.375501,11.020168,1.445,0.17385158071728296,0.3467025670636004,0.12878,0.25893,0.035,69602.5,False
