industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Healthcare,UNH,UnitedHealth Group,264468627456,15.143,22.068027,14.57912,0.732,0.05241926066374904,2.5379421241354123,0.02694,0.00336,0.123,264468.6,False
Healthcare,JNJ,Johnson & Johnson,591148220416,18.335,22.219204,19.539326,6.586,0.028137189993221883,0.8639022983649652,0.28456,0.23966,0.091,591148.2,False
Healthcare,PFE,Pfizer,151353540608,7.999,19.57353,9.406993,3.287,0.08873346794564602,2.1016798011915796,0.124180004,0.23945,-0.012,151353.5,False
Healthcare,ABBV,AbbVie,417623834624,16.436,100.08051,14.659824,7.861,0.043909728017583236,2.158439861441119,0.0691,0.34108,0.1,417623.8,True
Healthcare,MRK,Merck,297379299328,11.455,16.521976,12.301361,5.128,0.039971678334238356,1.235835693054307,0.28078,0.32773998,0.05,297379.3,False
Healthcare,TMO,Thermo Fisher Scientific,192621772800,19.917,28.900227,19.04574,4.979,0.022795320965917305,2.806069310035632,0.15045999,0.21170999,0.072,192621.8,False
Healthcare,ABT,Abbott Laboratories,196531945472,16.818,30.403225,18.114374,4.565,0.03199988643523603,0.4318956628031865,0.14718,0.21616,0.044,196531.9,False
Healthcare,DHR,Danaher,144772628480,20.403,40.621033,22.464031,6.507,0.031462265538884274,1.9248246751201452,0.1471,0.2217,0.046,144772.6,False
Healthcare,ELV,Elevance Health,64324378624,6.759,11.560889,9.860355,0.307,0.05285320994506308,-0.3722346477876106,0.02843,0.0154,0.095,64324.4,False
Healthcare,CVS,CVS Health,102502047744,11.762,57.964027,9.8542595,0.43,0.05784762636946524,4.74201670369754,0.00442,0.01572,0.084,102502.0,False
Healthcare,MCK,McKesson,120798896128,21.399,28.245598,22.13089,0.319,0.07581609307336336,0.9743588879892038,0.01091,0.01545,0.114,120798.9,False
Healthcare,COR,Cencora,71624253440,16.117,44.25361,18.762669,0.245,0.048354016323552206,1.6430509696106688,0.0049900003,0.01181,0.055,71624.3,False
Healthcare,CI,Cigna Group,76061401088,8.129,12.837691,8.509621,0.356,0.1284472191709517,1.8868598533504786,0.02167,0.0353,0.104,76061.4,False
Healthcare,CAH,Cardinal Health,52517826560,15.42,32.1585,19.12938,0.241,0.10365289876916034,1.6348418203950101,0.00679,0.01233,0.188,52517.8,False
Healthcare,CNC,Centene,22124777472,7.837,,10.930357,0.114,0.22838648652601462,-0.8426396649468717,-0.037890002,-0.01878,0.232,22124.8,False
Healthcare,HUM,Humana,22082328576,4.351,18.62767,11.615994,0.12,0.0598329131573556,-1.858504084882113,0.00916,-0.01793,0.113,22082.3,False
Healthcare,HCA,HCA Healthcare,121742163968,11.141,19.230307,16.366184,2.282,0.04783162055120535,3.0703770578512395,0.08974,0.16287,0.067,121742.2,False
Healthcare,LLY,Eli Lilly,898214002688,29.445,43.671455,23.917936,14.318,0.0021720882308240872,1.1547345289832736,0.31667,0.44896,0.426,898214.0,False
Healthcare,BMY,Bristol-Myers Squibb,126933409792,8.552,18.014452,10.173437,3.392,0.08781671348989897,1.9101277653786422,0.14637,0.28163,0.013,126933.4,False
