industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Healthcare,UNH,UnitedHealth Group,266062905344,15.028,22.217852,14.6670065,0.726,0.05210515874836376,2.5379421241354123,0.02694,0.00336,0.123,266062.9,False
Healthcare,JNJ,Johnson & Johnson,591885434880,18.438,22.26708,19.56369,6.623,0.028102144117420725,0.8639022983649652,0.28456,0.23966,0.091,591885.4,False
Healthcare,PFE,Pfizer,150983966720,7.99,19.525736,9.384023,3.284,0.0889506669864237,2.1016798011915796,0.124180004,0.23945,-0.012,150984.0,False
Healthcare,ABBV,AbbVie,415519703040,16.295,99.57628,14.585964,7.794,0.04413208051949998,2.158439861441119,0.0691,0.34108,0.1,415519.7,True
Healthcare,MRK,Merck,296266727424,11.417,16.437586,12.255339,5.111,0.04012178417520494,1.235835693054307,0.28078,0.32773998,0.05,296266.7,False
Healthcare,TMO,Thermo Fisher Scientific,192024395776,19.764,28.826849,18.986673,4.941,0.022866235918909163,2.806069310035632,0.15045999,0.21170999,0.072,192024.4,False
Healthcare,ABT,Abbott Laboratories,197435539456,16.892,30.54301,18.19766,4.585,0.0318534340541134,0.4318956628031865,0.14718,0.21616,0.044,197435.5,False
Healthcare,DHR,Danaher,143648276480,20.338,40.305557,22.28957,6.486,0.03170852440150349,1.9248246751201452,0.1471,0.2217,0.046,143648.3,False
Healthcare,ELV,Elevance Health,64540663808,6.578,11.595162,9.89351,0.299,0.05267609112471804,-0.3722346477876106,0.02843,0.0154,0.095,64540.7,False
Healthcare,CVS,CVS Health,102171271168,11.755,57.776978,9.822459,0.43,0.05803490640974933,4.74201670369754,0.00442,0.01572,0.084,102171.3,False
Healthcare,MCK,McKesson,121919602688,21.75,28.507647,22.336208,0.324,0.07511917813115897,0.9743588879892038,0.01091,0.01545,0.114,121919.6,False
Healthcare,COR,Cencora,72119328768,16.244,44.559494,18.892359,0.247,0.04802208200163819,1.6430509696106688,0.0049900003,0.01181,0.055,72119.3,False
Healthcare,CI,Cigna Group,76173598720,8.111,12.862427,8.522173,0.355,0.12825802666764172,1.8868598533504786,0.02167,0.0353,0.104,76173.6,False
Healthcare,CAH,Cardinal Health,52619014144,15.615,32.174103,19.166237,0.244,0.10345357184197115,1.6348418203950101,0.00679,0.01233,0.188,52619.0,False
Healthcare,CNC,Centene,22159202304,7.612,,10.947363,0.111,0.2280316828502384,-0.8426396649468717,-0.037890002,-0.01878,0.232,22159.2,False
Healthcare,HUM,Humana,22012985344,4.299,18.550304,11.579518,0.118,0.060021393161928775,-1.858504084882113,0.00916,-0.01793,0.113,22013.0,False
Healthcare,HCA,HCA Healthcare,122031759360,11.103,19.255646,16.405115,2.275,0.04771811061759325,3.0703770578512395,0.08974,0.16287,0.067,122031.8,False
Healthcare,LLY,Eli Lilly,898701721600,29.562,43.69517,23.930923,14.375,0.002170909454280943,1.1547345289832736,0.31667,0.44896,0.426,898701.7,False
Healthcare,BMY,Bristol-Myers Squibb,126668668928,8.434,17.97688,10.152218,3.345,0.08800025274076274,1.9101277653786422,0.14637,0.28163,0.013,126668.7,False
