industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Industrials,F,Ford Motor,49230127104,34.594,,6.720511,0.996,0.035722536736191156,25.45985641784365,-0.04369,-0.0669,-0.048,49230.1,False
Industrials,GM,General Motors,71084032000,9.918,23.302752,5.491203,0.945,0.12041558385433172,5.894208698743365,0.014579999,0.065359995,-0.051,71084.0,False
Industrials,GE,GE Aerospace,344913575936,32.957,40.6704,38.22379,7.692,0.015108131925102653,0.8936746781618476,0.18982,0.19549,0.176,344913.6,False
Industrials,CAT,Caterpillar,330431037440,26.019,37.597443,25.603287,5.374,0.017670102219317717,2.4872861095327203,0.13144,0.16025,0.18,330431.0,False
Industrials,DE,Deere & Company,159549685760,25.327,33.334652,25.5408,4.655,0.0263256558105552,6.742547592210971,0.10302,0.092709996,0.13,159549.7,False
Industrials,FDX,FedEx,88093974528,,20.661318,17.188974,,0.052695145438403805,0.0,0.04814,0.0764,0.139,88094.0,False
Industrials,UPS,UPS,88366014464,9.097,15.864329,13.073677,1.253,0.058697621607831076,1.8590730871210868,0.06285,0.107480004,-0.032,88366.0,False
Industrials,HON,Honeywell,160637059072,20.7,31.44855,20.735928,4.682,0.029015721645594048,2.6727681412646014,0.1263,0.15413,-0.033,160637.1,False
Industrials,LMT,Lockheed Martin,151565549568,20.441,30.493483,20.470829,2.257,0.034847134477814797,2.251055996113126,0.06685,0.090100005,0.091,151565.5,False
Industrials,RTX,RTX Corporation,273638752256,20.906,41.18384,27.148176,3.477,0.023594062620048494,2.2070581573642385,0.07598,0.110240005,0.121,273638.8,False
Industrials,MMM,3M,82275811328,14.548,26.035002,16.619888,3.508,0.015317381423027224,0.8641954893617021,0.13027,0.12408,0.02,82275.8,False
Industrials,GD,General Dynamics,97529585664,16.526,23.3614,19.960268,1.995,0.034422888451162814,1.1752836923076924,0.08011,0.1014,0.078,97529.6,False
Industrials,NOC,Northrop Grumman,105614278656,17.376,25.447388,24.637247,2.825,0.027457225565543895,1.9766863568961448,0.09968001,0.16530001,0.096,105614.3,False
Industrials,NUE,Nucor,39386574848,10.857,22.88564,12.622429,1.383,-0.022936114132449684,1.0992992997450701,0.05367,0.06869,0.086,39386.6,False
Industrials,TSLA,Tesla,1521798742016,142.168,372.0642,144.30176,15.746,0.0024527717055773174,-2.7934876798264106,0.040009998,0.047030002,-0.031,1521798.7,True
Industrials,BA,Boeing,174394163200,-62.418,89.180725,47.20964,2.259,0.010102115711175362,,0.02498,-0.03178,0.571,174394.2,False
Industrials,DAL,Delta Air Lines,40043442176,7.32,8.003917,7.4143953,0.898,0.07378237073162448,2.1955736507891337,0.078990005,0.08930001,0.029,40043.4,False
Industrials,UAL,United Airlines,30894315520,6.404,9.355883,6.26866,0.841,0.03557288923551461,2.4237267210000684,0.056760002,0.09139,0.048,30894.3,False
Industrials,AAL,American Airlines,7784990720,9.782,69.35294,4.369952,0.699,-0.09078366839723093,7.788732669520843,0.0020299999,0.03622,0.025,7785.0,False
